,price
12297,196000
9336,582500
18921,279000
406,450000
7501,2500000
7767,329000
840,282000
1269,441500
19116,430000
4773,350000
17845,295000
3500,500000
4908,549000
15535,295000
19108,182000
20509,459000
410,268000
762,330000
18775,330000
20192,592000
14303,567500
13526,310000
17223,1970000
9017,875000
12298,349950
20798,351999
1962,412000
2410,487000
14861,475000
7240,118125
8211,555000
9286,327500
10532,1170000
12092,348500
18153,267000
1939,240000
3512,299950
18498,1650000
6740,333000
588,370000
8210,733500
11576,560000
8988,390000
20082,2250000
4409,864500
21164,815000
10115,580000
19986,445000
1595,327500
6253,280000
3753,405000
4175,790000
16444,470000
10170,471000
10289,375000
4597,495000
8523,215000
11017,469000
9923,495000
12189,260000
767,260000
3879,265000
17128,334999
18178,400000
1786,552500
20135,385000
16311,575950
17335,788600
5701,530000
6869,620000
7739,258000
3331,368500
20119,388500
10620,743000
4070,761000
4607,245000
20969,303210
3612,870000
19039,287500
8263,425000
2075,715000
4237,815000
6224,380000
15806,380000
13935,975000
1898,330000
3004,228800
15526,402000
20227,790000
10526,392500
7122,1740000
15914,778000
13352,749950
2919,1130000
4318,560000
11117,251750
8536,445000
21132,525000
14293,397000
15929,387500
535,358000
16117,780500
21167,725000
19927,450000
4952,611000
17774,740000
21203,391000
20680,575000
4471,1050000
2193,265000
18778,1700000
2545,299900
16945,575000
10663,575000
2788,524000
16736,418000
14906,530000
7661,219950
2262,270000
17404,250000
16554,345000
11760,325000
3532,470000
5373,610000
4681,413500
21380,782000
17190,525000
9861,885000
14949,799000
8149,309933
13114,381000
21379,350000
8829,370000
9946,396000
8391,460000
11069,365000
14173,500000
11810,206990
13464,485000
4517,275000
20489,355000
11524,589000
1740,372000
4837,950000
8812,1010000
6093,302000
16997,230000
19440,780000
8227,619500
10458,359000
13489,505000
3741,650000
19257,1550000
1649,284950
10441,402500
1459,707500
4822,415000
3581,330000
12777,225000
17298,555000
3230,475000
21590,429000
4071,435000
6403,470000
12893,330000
5755,580000
20599,220000
6547,615000
18710,183500
19904,435000
21045,664950
19122,315000
15584,383900
13148,315275
13754,350000
2890,406650
5528,602000
3706,525000
14066,294000
3974,635000
17356,286000
1314,5300000
10885,372500
9007,382500
6475,525000
13836,950000
9728,259000
9598,264250
9174,698000
18451,195000
21012,395000
16767,589950
7268,555500
12584,695000
17346,438000
5913,750000
3097,200000
17065,350000
17175,531800
12303,352500
9035,505500
5744,339000
8272,400000
12879,235000
13156,379880
5498,682000
3665,775000
10299,329000
2378,172040
3243,658600
12993,680000
12450,1900000
17274,378000
20570,492000
14056,300000
5090,499000
18325,765000
19410,320000
9059,685000
511,480000
17140,750000
19076,299500
13673,550000
20856,409000
8746,358000
13606,384205
1313,530000
8982,454000
2941,275436
595,240500
9698,751000
16648,1100000
19876,559950
8271,440000
6486,284000
19330,359000
1033,768000
21515,670000
6104,361500
3048,272000
13680,427000
7377,880000
16738,800000
12912,275000
7629,206000
5705,325000
2887,205000
6715,244500
8616,325000
2697,412000
12460,525000
14025,550000
5648,258750
1052,648000
16542,450000
21561,399950
17438,795000
137,452000
20215,459000
187,560000
4938,559000
4880,330000
16800,299950
10536,850000
7841,1200000
14725,295000
13912,572500
10981,425000
17659,505000
5611,439900
8373,910000
2444,355000
14095,275000
5145,489000
13641,240000
7459,650000
7775,575000
13158,695000
4976,860000
2289,348000
9210,310000
6579,1350000
1566,294000
21237,505000
10377,309950
21484,610000
16727,554000
4819,760000
4001,282500
11245,522500
1298,284000
6494,274950
9012,510000
11994,435000
17916,428000
11701,219950
12884,285950
12528,230000
20422,675000
9472,155000
14456,825000
19465,850000
1264,467000
8605,340000
710,390000
10813,558000
1239,685100
10376,1230000
20137,248000
1333,805000
5003,279000
3383,975000
10224,432500
425,245000
16445,810000
10204,649000
4432,249950
2744,810000
17159,250000
2998,637000
7812,160000
19136,1050000
10647,304500
10788,400000
14875,495000
17334,370000
3760,598600
10766,495000
5220,485000
11966,3000000
192,799000
21544,747450
6074,438900
9479,287000
3617,525000
11153,420000
12059,535000
5309,349000
9389,475000
16458,305500
1336,495000
1153,699000
19425,375000
4928,970000
16253,847000
530,270500
15559,715000
5195,710000
10865,791500
8158,1450000
4283,300000
8243,170000
12479,733000
12531,440000
14513,485000
9468,215000
2963,999000
10554,302000
4442,360000
10575,1060000
15937,235000
13183,363000
2910,205000
15856,257500
9660,1180000
9745,329000
16737,425000
15227,283500
17965,311000
18923,507000
3790,160000
3632,251000
1034,980000
18702,1160000
19019,310000
8665,450000
1518,715000
6957,550000
9363,251200
18490,359000
6589,1250000
11529,264500
8505,415000
6304,751750
4329,290000
6857,110000
17293,1070000
13907,589000
15233,667500
7409,663500
18740,505000
11495,398500
9554,675000
6958,1580000
9822,425000
10543,385000
932,299900
9557,257100
15332,425000
8530,599000
2940,123300
7289,700000
372,530000
13860,624500
10483,227950
6757,269950
17842,610000
118,171800
1736,189950
9940,308950
7246,204000
16751,829000
12288,950000
2299,357000
7686,320000
8481,239950
6338,365000
16952,475300
16129,705000
19086,707000
2087,1200000
15816,655000
4180,341000
10952,360000
14167,350000
9446,695000
16607,338500
21344,519995
21512,290000
14181,199950
758,856600
1868,668000
7591,345000
14478,500000
12341,1650000
3761,367777
11573,408000
13813,540000
8420,628000
20504,1500000
3187,1140000
16745,205000
5525,435000
18810,539000
4220,571900
12885,645000
12256,485000
19565,495000
19696,839950
14316,412500
2456,408000
18794,625000
1122,1200000
4850,840000
4076,280000
3881,440000
1927,190000
5944,199000
3207,700000
20571,552500
3806,430000
4232,700000
7124,360000
10539,369500
11087,310000
15956,279950
18076,455000
3634,803000
12482,377500
14218,267500
19833,519000
12439,320000
3808,880000
6237,280000
102,699950
3264,425000
13741,464000
7037,213000
16913,358000
2090,1030000
18552,260000
17796,455000
18704,199990
7597,270000
9232,650000
18099,1100000
9202,443500
14410,290000
10292,335620
11603,540000
14047,365000
11131,253000
14717,379900
15753,1690000
1935,335000
17671,599000
13643,825000
11971,1010000
20492,305000
12674,498000
17954,320000
16733,643500
2861,441500
1307,375000
7485,375000
10618,892500
20736,370000
10031,583000
19851,625000
13102,360000
9576,642000
3996,420000
6343,905000
66,975000
3836,830000
6549,498500
11681,412000
11293,345000
8846,560000
881,225000
7313,305000
6951,635000
9214,750000
503,1200000
7943,200000
20421,491000
5514,815000
14090,802000
17021,165000
14696,562000
4739,330000
10961,868000
6742,204555
2694,705000
11499,510000
16698,550000
9729,292000
8904,190500
10883,440000
8550,442500
4923,369000
4581,456000
8268,546500
3544,1020000
20753,2300000
13651,785000
2420,525000
20010,566950
5321,485000
13666,235000
7295,570000
2298,252000
18863,1500000
16170,560000
17891,715000
10102,1370000
2656,840000
15151,930000
12492,780000
16071,293000
5555,539950
777,493000
21055,389517
19087,399000
3201,528000
12005,185000
15626,740000
21024,370000
2201,340000
17479,361600
21564,362500
21084,649000
17641,585000
2623,677100
1511,413000
19386,535000
7969,285000
17867,852000
10917,300000
19924,320000
16749,330000
448,475000
2835,1320000
13091,290000
14401,550000
8011,368500
2687,415000
5467,810000
2346,430000
11868,289900
8634,312000
12649,158000
16868,407500
11332,530000
6138,524400
674,385000
8326,250000
913,324000
9929,352000
13562,409950
209,464000
3901,975000
15936,555000
4125,245000
18384,306000
13244,589500
8932,725000
12638,361500
1321,279950
10818,583500
18714,230000
1545,365000
7064,750000
11698,402000
5337,595000
784,650000
2203,230000
9081,220000
18879,1410000
10743,200000
19378,429950
10857,540000
10680,340000
20281,3200000
10354,375000
16070,210000
20110,437500
10253,269950
2813,450000
12529,350000
19585,515000
13921,860000
18387,1070000
9632,425000
14008,295000
16279,750000
13863,390000
19080,450000
7461,599000
13381,313100
11863,332500
11553,335000
2270,546800
15490,1080000
18105,449000
15603,312000
617,485000
18277,405000
12471,297000
19123,227000
3111,850000
9800,1180000
6126,863500
9726,410000
14143,475000
3495,690000
18392,675000
9761,514950
1894,599000
17109,413000
18270,330000
6444,286000
18529,580000
20176,300500
10721,450000
8564,726500
17373,725000
17501,1050000
14676,230000
13431,536000
11549,804000
20505,425000
19110,655000
12591,495500
13693,360500
20999,757500
13668,300000
14778,240000
1429,470000
8396,359500
2183,333000
5972,509007
5828,280000
17856,283700
19009,550000
5549,569000
9355,510000
6600,600000
10318,554500
15070,939000
8024,210000
3713,360000
9288,510000
12929,275000
6617,470000
10378,134000
851,287653
15945,693000
803,625000
14399,513000
5686,1000000
1896,400000
21587,467000
5533,625000
4416,425000
16210,439000
19559,541338
11736,299950
17193,796500
8692,536500
18930,580000
16396,598500
18028,409950
9259,347000
9871,503000
11689,315000
3728,470000
2367,575000
20160,1350000
12565,184000
18741,631500
19029,690000
4457,507000
4845,525000
16818,546200
268,272500
10139,333500
20818,357500
17093,272000
1995,194000
6730,380000
14989,289000
17308,475000
17039,190000
15844,312000
7622,550000
11360,775000
17580,350000
18553,196000
14635,545000
19265,458000
1657,335000
10294,354000
10497,535950
4686,556000
2643,925000
4873,849000
14317,425000
5772,637800
13415,1170000
21085,447000
2537,490000
4703,333000
663,312000
16513,1980000
21046,699188
3192,805000
3017,485000
6856,332544
20405,625000
1159,267500
15005,325000
2550,425000
3399,309950
5643,619950
2207,783000
14893,561000
1277,831000
9076,585888
9419,255000
1840,905000
887,374000
13691,333000
4046,925000
3291,257200
8760,159075
18223,383000
10463,262500
13527,200000
8725,382888
16255,1060000
15581,1680000
20866,565000
21501,942990
1788,341000
19815,610360
11352,495000
14905,367000
9046,350000
13840,838000
99,437500
10272,451000
5615,874000
197,465000
6121,650000
6252,480000
10956,283000
17763,515000
10199,657100
4035,390000
4528,265000
2608,540000
8119,374000
13390,1820000
4993,233500
3593,550000
632,426700
6999,365000
15695,660000
14741,605000
20948,110000
15692,465000
11096,1820000
19733,629800
6805,275000
15318,225000
8390,235000
20857,798500
7598,475000
3846,359950
2001,176250
520,288000
20984,899000
20377,700000
783,715000
17509,1200000
6904,469000
1567,789500
17434,407500
17730,969500
12711,670000
7632,339900
21492,2240000
13697,307500
12440,544000
12311,290000
19383,725000
701,195000
12380,237000
8528,480000
8711,373000
11759,771000
14188,199000
8969,450000
7693,485000
3867,120000
12484,399000
5870,438000
18675,625000
2803,195000
1158,315000
9956,485000
20828,435000
14718,620000
1731,1930000
19991,1400000
6620,242550
9716,629000
2659,523000
1029,900000
2490,640000
20559,305000
6835,294000
16819,1400000
19036,725000
471,868700
9365,245000
13049,255000
21466,449000
4766,480000
5766,375000
10198,383150
19229,435000
21532,509900
14031,805000
3641,600000
16250,600000
11065,499990
15880,1570000
5947,204995
18271,425000
566,260000
10124,219000
8,229500
2827,900000
7826,540000
5829,690000
4775,390000
16944,675000
9481,645000
16936,542500
18757,1030000
12819,727000
7331,379900
12200,227000
1508,399000
17539,965000
19578,263000
1470,1330000
19706,327555
19360,485000
5290,335000
17758,590000
17179,997950
961,425000
10570,345000
18874,680000
13235,492000
2523,175000
19775,550000
18506,1450000
15182,450000
4287,192950
5748,565000
5592,375000
2110,399950
2399,325000
1059,249500
7726,775000
12866,299000
9577,340000
4680,610000
16581,875000
18981,351000
18369,1500000
13317,452500
13956,649000
9330,182500
481,328500
10615,267500
18193,355000
11583,635200
12466,645000
4901,186000
3526,865000
6389,549000
7768,270000
18566,160000
8402,418000
4748,220000
5181,243500
2077,199000
14350,420000
5781,357562
5122,299000
3592,630000
15523,503000
19055,1420000
4564,599000
7678,600000
15153,225000
5896,595000
11350,533000
5711,765000
10924,324000
21207,259000
4782,429000
10485,550000
12424,755000
13523,334000
14390,547000
735,365000
13721,364500
20589,445000
5810,411000
19769,414950
7278,1160000
5049,735000
3212,555565
19387,229950
2646,560000
1334,567500
16530,379000
2503,475000
20167,645000
313,1380000
11783,256000
12684,290000
11419,464000
15757,1260000
13193,1090000
20242,270000
11589,1200000
4377,353000
9384,371000
4412,911000
6101,440000
8771,325000
9960,1050000
1963,252000
14916,245000
11675,510000
19331,151000
1482,483000
18842,405000
18452,799000
5039,1200000
4108,649950
7892,367000
11881,365000
7694,189900
21112,545000
16242,212000
75,832500
973,765000
11774,370000
20154,1750000
16256,1620000
18479,672600
946,1320000
18992,353250
5064,479990
13937,350000
4299,346950
3080,228000
8657,549950
2809,175000
6091,713900
12872,485000
2947,265000
9387,840000
705,325000
18195,660000
16246,2330000
18078,244000
4288,599000
450,1450000
14831,523460
18931,345000
20321,405000
5699,395000
8891,400000
17908,360000
14214,142500
14080,270000
16973,414950
18849,740000
15421,660000
9009,229000
9692,390000
5490,736000
14469,349990
15761,855000
16423,539000
11625,425000
10711,912000
3792,949000
20076,551500
6370,251100
12448,540000
12082,490000
8577,575000
11975,448500
9736,464500
20908,499950
12861,860000
14430,260000
16025,660000
11574,306500
15996,215000
13731,775000
15103,299000
10531,245000
14575,325000
11179,442250
20886,320000
20295,870515
18152,280000
2666,558000
14172,205000
5339,585000
20235,329780
10583,373000
3292,555000
8065,682000
21130,864327
9634,330000
12312,385000
20033,754950
19556,619790
5242,260000
13569,780000
8984,214000
5906,250000
12999,340000
14134,825000
10545,660000
3360,542000
6982,583000
5367,350000
16814,425000
7491,565000
13455,450000
19792,575000
7076,560000
11669,359000
16710,340000
4925,653000
21588,224000
16580,283000
5458,845800
7759,407450
15546,230000
5719,96500
1613,425000
3822,214946
16848,585000
7914,585000
17903,227000
14830,952000
14918,505000
17768,675000
11871,367999
10133,335000
5898,1030000
14128,375000
16157,310000
5111,470000
14063,599000
21180,375500
18792,520000
13146,637000
15652,185000
6807,310000
3773,680000
836,430000
6351,1450000
20278,425000
8171,299000
10359,590000
2751,856000
6797,599000
16337,743700
167,807100
2624,465000
16683,221000
19553,226000
7320,595000
8818,588000
13780,218500
14633,418900
16528,419625
1704,229000
12586,350000
10210,950000
797,710000
6267,625000
18706,295000
15027,1300000
13208,265000
17912,420000
16186,81000
4188,300000
13626,563500
13707,775000
17742,447000
16371,415000
10442,482000
12040,270000
15278,340000
8103,395000
2363,500000
5889,695000
12168,595000
1006,325000
9936,1150000
7185,380500
10969,375000
18733,670000
7465,425000
212,592500
4487,950000
19747,645000
11064,1660000
8250,370000
1406,345000
18525,410000
16498,255000
2660,225000
15954,630000
13756,340000
8801,1370000
7955,305000
8472,1200000
11921,543000
4443,344000
18758,315000
20223,724500
12804,535000
11508,1210000
16730,508500
15790,310000
8540,420000
3735,898888
19369,410000
5518,458000
13380,608000
581,264000
5000,525000
18123,473000
19171,660000
13432,324900
17326,815000
15111,745000
2645,656000
1830,469000
14170,315000
10264,208000
9492,860000
3589,478000
13716,231500
16128,354000
3560,529000
10394,420000
4758,624000
4295,1190000
6477,525000
14030,455000
4072,252000
12403,570000
7345,775000
13131,570000
14489,462370
20651,394950
8599,533050
1984,500000
18100,257500
18690,360000
13445,230000
7467,725000
12026,415000
20479,953007
11130,660000
12209,615000
3531,205000
1358,549000
6052,400000
17948,850000
16743,890000
18126,744000
8161,328000
16654,795000
20064,544999
479,590000
19591,279900
12019,385000
17378,365000
57,301000
1091,730000
7254,410000
7524,487000
17269,339000
2787,545000
21511,1450000
11844,500000
2200,585000
13290,328000
21453,1990000
8093,640000
14258,130000
11257,549000
19651,320000
4752,372977
2740,595000
10757,1310000
18116,375000
13350,530000
20533,362500
1414,445000
17673,425000
7328,449888
15126,220000
6538,544900
3857,645000
10053,430000
12850,446000
8914,455000
11111,446000
3465,535000
21424,435000
5856,473000
15054,285000
13199,488000
7967,268000
17987,540000
16893,520000
6372,870000
