,Actual,Predicted
6113,277500,374907.8611689359
13550,290000,340246.1787534803
1960,250000,243584.76366391778
4501,567035,494118.1965098232
7088,309000,282391.2191835791
12066,156000,-65479.55066199601
13,400000,322969.15631097555
19228,580000,772799.9712860435
7244,416000,391463.4871480614
8019,460000,615686.2253073454
20734,395000,605773.3884914666
4838,359000,644259.1375295669
8016,349950,326171.26412028074
21201,309000,242369.90552961826
551,1450000,1421366.746854499
9151,825000,779986.3920872211
20953,812000,785532.848755449
17062,251000,320684.5953077376
17944,1210000,890403.4960753471
11145,770000,651241.2218217552
14162,460000,506522.1211539507
8877,183000,190246.90475566685
15516,295000,166511.56644454598
8470,563000,619602.5321578085
219,467000,554967.6041392088
6500,690000,553741.9724145383
7353,786000,794614.4453159124
10848,275000,217343.3111897707
15334,275000,335504.11882311106
17196,620000,625711.7098034173
12228,549000,552010.3076464832
3821,736000,737016.504459694
9750,306000,435736.5912448466
20569,749000,823871.081915915
9175,400000,311321.4962555021
8842,380000,375578.12946017087
19894,1260000,921383.9912334085
11879,567000,797997.4054951668
20309,672000,503920.3444086015
20040,555000,487024.79341851175
7420,670000,797984.9165927023
10128,340000,300303.51909327507
12864,255000,310146.9124159515
12369,232900,130002.68908526003
300,3080000,1946878.753167659
14238,230000,326507.7938735336
3272,660000,901527.7440520823
18157,791000,643059.5733461976
20424,530000,674214.37185058
19547,321000,375089.64545816183
12434,225000,319090.3107881695
5265,515100,662027.7401664853
5276,469000,403519.83087179065
8003,495500,807291.1378940642
19,230000,196277.54687182605
2590,375000,444020.7693232149
4523,810000,537882.283114031
18357,554000,558339.9661111087
4469,720000,974382.5680237114
6610,340000,630782.2064043432
13416,1100000,916802.2397944033
5722,339000,483185.21884424984
17197,1450000,987096.239920631
4127,750500,781942.1783562005
2463,353000,57006.147082448006
9360,219950,348151.757945776
13481,1330000,1133239.7638305426
10341,565000,748556.5668150038
4203,512500,622844.4442729056
19999,245000,238123.19030068815
11440,228900,308574.3358760476
12541,330000,608708.2652868927
13297,340000,448950.9479151666
16812,379950,379410.47358095646
6443,550000,414581.5001094341
14378,291000,418444.2557581365
4120,235000,287571.56627453864
14154,368000,321142.8228209913
14688,526500,601600.692033127
9164,505000,595921.7498127222
7287,465000,566941.2996639907
11049,350000,529138.6423830241
2336,358000,175913.67348246276
3142,325000,448991.2965899408
3231,1060000,981854.1572079808
18135,435000,639938.7807219028
12456,222900,202275.9637659788
4714,750000,921852.0459492505
1440,264950,238469.41271035373
8571,560000,851768.067862615
14740,716000,648109.388488695
13258,185000,367580.6806637049
3253,418000,452102.8383669108
2806,522000,497381.42726151645
8300,473000,862397.1362687647
10907,199500,275453.13112056255
10739,265000,456957.9052774757
21593,475000,304696.79557456076
9135,455000,602476.3524103165
5933,261000,327255.15587580204
17967,575000,555553.0364622325
1798,465000,466724.8196861148
2798,415000,700602.352227211
10202,215000,299514.41046354175
1530,819000,881062.2343370616
19843,435000,609749.203332141
4747,280000,171945.61163279414
20982,1270000,1378188.3046718985
16361,318000,340765.5083644539
15590,275000,380059.035550341
5119,730000,1051676.8620940149
20161,440000,471179.014743194
290,389999,336679.9319149405
21323,344000,429038.4141535312
13351,568000,428168.3329156041
20784,643950,497092.9797600806
15533,459000,653715.7150558531
10373,808000,943273.7333241701
8172,1000000,729190.3075231612
7008,605000,1026511.2290036976
15218,1400000,1245640.0157731175
2459,438400,421183.2487001419
11336,370000,441283.73357607424
6798,515000,709257.688229233
12472,625000,1010875.9418620467
5455,575000,627215.8206729293
20826,616950,734517.4859686941
17460,960000,902565.8026781678
