,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,distance_to_city,price_per_sqft,clusters,cluster
0,221900,3,1.0,1180,5650,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,10.45814809,188.05084745762713,0,pink
1,538000,3,2.25,2570,7242,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,6.796267157,209.3385214007782,3,dark purple
2,180000,2,1.0,770,10000,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,13.60161256,233.76623376623377,0,pink
3,604000,4,3.0,1960,5000,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,8.402783972,308.16326530612247,3,dark purple
4,510000,3,2.0,1680,8080,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,32.21022139,303.57142857142856,0,pink
5,1230000,4,4.5,5420,101930,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,36.75507984,226.93726937269372,1,purple
6,257500,3,2.25,1715,6819,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,17.90903583,150.14577259475217,0,pink
7,291850,3,1.5,1060,9711,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,12.15010674,275.3301886792453,0,pink
8,229500,3,1.0,1780,7470,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,5.847258953,128.93258426966293,0,pink
9,323000,3,2.5,1890,6560,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,36.68339175,170.8994708994709,0,pink
10,662500,3,2.5,3560,9796,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,21.0966123,186.09550561797752,3,dark purple
11,468000,2,1.0,1160,6000,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6.694504349,403.44827586206895,0,pink
12,310000,3,1.0,1430,19901,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,14.57615498,216.78321678321677,0,pink
13,400000,3,1.75,1370,9680,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,32.2083298,291.97080291970804,0,pink
14,530000,5,2.0,1810,4850,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,7.48885129,292.81767955801104,3,dark purple
15,650000,4,3.0,2950,5000,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,5.054139114,220.33898305084745,3,dark purple
16,395000,3,2.0,1890,14040,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,42.01332361,208.994708994709,0,pink
17,485000,4,1.0,1600,4300,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,3.359637372,303.125,0,pink
18,189000,2,1.0,1200,9850,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,22.64508236,157.5,0,pink
19,230000,3,1.0,1250,9774,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,16.72739066,184.0,0,pink
20,385000,4,1.75,1620,4980,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,5.516519104,237.65432098765433,0,pink
21,2000000,3,2.75,3050,44867,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,12.23656873,655.7377049180328,1,purple
22,285000,5,2.5,2270,6300,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,24.96221936,125.55066079295155,0,pink
23,252700,2,1.5,1070,9643,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,24.17894861,236.16822429906543,0,pink
24,329000,3,2.25,2450,6500,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,22.89672922,134.28571428571428,0,pink
25,233000,3,2.0,1710,4697,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,22.3110125,136.25730994152048,0,pink
26,937000,3,1.75,2450,2691,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3.276423185,382.44897959183675,3,dark purple
27,667000,3,1.0,1400,1581,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,2.397705339,476.42857142857144,3,dark purple
28,438000,3,1.75,1520,6380,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6.069959346,288.1578947368421,0,pink
29,719000,4,2.5,2570,7173,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,25.63101259,279.76653696498056,3,dark purple
30,580500,3,2.5,2320,3980,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,29.73090838,250.2155172413793,3,dark purple
31,280000,2,1.5,1190,1265,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,7.384368722,235.2941176470588,0,pink
32,687500,4,1.75,2330,5000,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5.656195973,295.06437768240346,3,dark purple
33,535000,3,1.0,1090,3000,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,6.471767005,490.8256880733945,3,dark purple
34,322500,4,2.75,2060,6659,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,22.53876735,156.55339805825244,0,pink
35,696000,3,2.5,2300,3060,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,5.092529576,302.60869565217394,3,dark purple
36,550000,4,1.0,1660,34848,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,22.74084395,331.32530120481925,3,dark purple
37,640000,4,2.0,2360,6000,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4.675034172,271.1864406779661,3,dark purple
38,240000,4,1.0,1220,8075,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,17.43975477,196.72131147540983,0,pink
39,605000,4,2.5,2620,7553,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,17.84668429,230.91603053435114,3,dark purple
40,625000,4,2.5,2570,5520,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,34.21039242,243.19066147859922,3,dark purple
41,775000,4,2.25,4220,24186,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,9.940775892,183.64928909952607,3,dark purple
42,861990,5,2.75,3595,5639,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,35.70469386,239.77468706536857,3,dark purple
43,685000,3,1.0,1570,2280,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,3.742037383,436.30573248407643,3,dark purple
