datetime,SaleCount
2014-05-02,67
2014-05-03,4
2014-05-04,5
2014-05-05,84
2014-05-06,83
2014-05-07,93
2014-05-08,81
2014-05-09,81
2014-05-10,5
2014-05-11,2
2014-05-12,80
2014-05-13,86
2014-05-14,81
2014-05-15,82
2014-05-16,73
2014-05-17,1
2014-05-18,7
2014-05-19,83
2014-05-20,116
2014-05-21,94
2014-05-22,91
2014-05-23,84
2014-05-24,11
2014-05-25,5
2014-05-26,8
2014-05-27,104
2014-05-28,111
2014-05-29,75
2014-05-30,65
2014-05-31,6
2014-06-01,7
2014-06-02,78
2014-06-03,104
2014-06-04,100
2014-06-05,93
2014-06-06,67
2014-06-07,4
2014-06-08,10
2014-06-09,95
2014-06-10,98
2014-06-11,90
2014-06-12,89
2014-06-13,79
2014-06-14,8
2014-06-15,7
2014-06-16,97
2014-06-17,113
2014-06-18,99
2014-06-19,101
2014-06-20,107
2014-06-21,8
2014-06-22,12
2014-06-23,142
2014-06-24,119
2014-06-25,130
2014-06-26,131
2014-06-27,92
2014-06-28,13
2014-06-29,7
2014-06-30,77
2014-07-01,115
2014-07-02,90
2014-07-03,74
2014-07-04,2
2014-07-05,6
2014-07-06,3
2014-07-07,83
2014-07-08,127
2014-07-09,121
2014-07-10,90
2014-07-11,82
2014-07-12,9
2014-07-13,3
2014-07-14,116
2014-07-15,102
2014-07-16,111
2014-07-17,86
2014-07-18,100
2014-07-19,5
2014-07-20,8
2014-07-21,97
2014-07-22,105
2014-07-23,107
2014-07-24,94
2014-07-25,102
2014-07-26,8
2014-07-27,1
2014-07-28,94
2014-07-29,112
2014-07-30,75
2014-07-31,83
2014-08-01,81
2014-08-02,5
2014-08-03,1
2014-08-04,91
2014-08-05,109
2014-08-06,85
2014-08-07,62
2014-08-08,78
2014-08-09,2
2014-08-10,3
2014-08-11,107
2014-08-12,100
2014-08-13,97
2014-08-14,92
2014-08-15,61
2014-08-16,4
2014-08-17,4
2014-08-18,84
2014-08-19,93
2014-08-20,114
2014-08-21,87
2014-08-22,103
2014-08-23,7
2014-08-24,2
2014-08-25,109
2014-08-26,117
2014-08-27,102
2014-08-28,78
2014-08-29,57
2014-08-30,1
2014-08-31,3
2014-09-01,6
2014-09-02,80
2014-09-03,85
2014-09-04,79
2014-09-05,86
2014-09-06,5
2014-09-07,2
2014-09-08,74
2014-09-09,94
2014-09-10,86
2014-09-11,88
2014-09-12,60
2014-09-13,5
2014-09-14,4
2014-09-15,77
2014-09-16,93
2014-09-17,74
2014-09-18,80
2014-09-19,76
2014-09-20,5
